@relation Records-weka.filters.unsupervised.attribute.StringToNominal-R1-1

@attribute TypeOfBet {'MATCH ODDS','OVER / UNDER','ASIAN HANDICAP'}
@attribute Odds numeric
@attribute Liquidity numeric

@data
'OVER / UNDER',1.7,748.984773
'ASIAN HANDICAP',2.19,1984.00221
'ASIAN HANDICAP',1.7,1475.024784
'ASIAN HANDICAP',1.77,1085.215009
'ASIAN HANDICAP',1.97,1209.806356
'MATCH ODDS',1.75,1770.643224
'OVER / UNDER',1.7,1750.680246
'ASIAN HANDICAP',1.75,1973.996474
'OVER / UNDER',1.88,1755.494696
'MATCH ODDS',1.91,1772.641879
'MATCH ODDS',1.73,1765.4908
'ASIAN HANDICAP',1.82,1994.60199
'MATCH ODDS',1.85,1770.619829
'ASIAN HANDICAP',1.8,2074.748082
'ASIAN HANDICAP',1.78,1973.996474
'OVER / UNDER',1.75,1752.187259
'MATCH ODDS',1.7,1766.022708
'ASIAN HANDICAP',1.81,207.67219
'OVER / UNDER',1.82,1765.30968
'ASIAN HANDICAP',1.72,1939.15359
'MATCH ODDS',1.8,1770.787666
'MATCH ODDS',1.91,1772.641879
'MATCH ODDS',1.73,210.02033
'OVER / UNDER',1.7,1760.85921
'ASIAN HANDICAP',1.92,207.67219
'MATCH ODDS',1.67,1761.908738
'OVER / UNDER',1.75,430.515248
'ASIAN HANDICAP',1.88,207.67219
'OVER / UNDER',1.79,241.763191
'ASIAN HANDICAP',1.79,1952.915227
'MATCH ODDS',1.84,1768.980257
'MATCH ODDS',1.75,1770.643224
'ASIAN HANDICAP',1.78,1947.327768
'ASIAN HANDICAP',1.72,1928.406531
'ASIAN HANDICAP',1.79,207.67219
'ASIAN HANDICAP',1.75,207.67219
'ASIAN HANDICAP',1.7,210.02033
'ASIAN HANDICAP',1.77,1986.918084
'OVER / UNDER',1.77,1762.366223
'MATCH ODDS',1.91,436.738858
'MATCH ODDS',1.8,1770.787666
'ASIAN HANDICAP',1.72,2142.5601
'OVER / UNDER',2,1766.786719
'OVER / UNDER',1.87,748.984773
'ASIAN HANDICAP',2.11,210.02033
'OVER / UNDER',1.89,1259.681047
'ASIAN HANDICAP',1.82,2023.077578
'ASIAN HANDICAP',2.42,1937.876805
'MATCH ODDS',2.01,1768.300972
'OVER / UNDER',1.81,1769.122395
'ASIAN HANDICAP',1.73,1929.371535
'ASIAN HANDICAP',1.89,207.67219
'OVER / UNDER',1.71,1767.114688
'MATCH ODDS',1.75,1770.643224
'OVER / UNDER',2.11,1766.64549
'ASIAN HANDICAP',2.04,1997.799918
'OVER / UNDER',1.7,1767.418542
'OVER / UNDER',1.8,1794.184894
'ASIAN HANDICAP',3.07,207.67219
'OVER / UNDER',1.8,1769.126934
'MATCH ODDS',1.76,2022.598273
